( reserved word , integer )
( ID , 0 )
( comparing operator , ASSIGNMENT )
( integer , 10 )
( delemeter operator , END )
( reserved word , fpoint )
( ID , 1 )
( comparing operator , ASSIGNMENT )
( fpoint , 3.14 )
( delemeter operator , END )
( reserved word , loop )
( ID , 1 )
( comparing operator , ASSIGNMENT )
( ID , 1 )
( computing operator , + )
( integer , 1 )
( delemeter operator , END )
( ID , 0 )
( comparing operator , ASSIGNMENT )
( ID , 0 )
( computing operator , - )
( integer , 1 )
( delemeter operator , END )
( reserved word , until )
( delemeter operator , ( )
( ID , 0 )
( comparing operator , OPP )
( integer , 0 )
( delemeter operator , ) )
( reserved word , condition )
( delemeter operator , ( )
( ID , 1 )
( comparing operator , G )
( integer , 12 )
( delemeter operator , ) )
( reserved word , start )
( ID , 1 )
( comparing operator , ASSIGNMENT )
( ID , 1 )
( computing operator , * )
( integer , 2 )
( computing operator , - )
( integer , 4 )
( delemeter operator , END )
( ID , 0 )
( comparing operator , ASSIGNMENT )
ERROR
( delemeter operator , END )
( reserved word , finish )
